token,freq,n_folios,length,first_char,last_char,in_label_pct,in_paragraph_pct,A_pct,B_pct,dominant_section,dominant_section_pct,is_hapax,specificity,cluster,top_anchors,category
okeos,11,10,5,o,s,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0901639344262295,zodiac,0.45454545454545453,False,0.45454545454545453,26,"has_circular_structure(npmi=+0.56, n=8) | has_radial_symmetry(npmi=+0.52, n=7) | n_concentric_rings(npmi=+0.49, n=6)",[body] recipes/herbal | has_central_star+has_moon_face
shee,11,8,4,s,e,0.0,1.0,0.18181818181818182,0.8048780487804879,herbal,0.45454545454545453,False,0.45454545454545453,3,"n_stars(npmi=+0.40, n=5) | n_paragraphs(npmi=+0.37, n=4) | n_decorative_motifs(npmi=+0.36, n=4)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
oain,11,10,4,o,n,0.0,1.0,0.2727272727272727,0.7096774193548386,recipes,0.6363636363636364,False,0.6363636363636364,26,"n_paragraphs(npmi=+0.47, n=6) | n_decorative_motifs(npmi=+0.46, n=6) | n_stars(npmi=+0.41, n=6)",[body] recipes/herbal | has_central_star+has_moon_face
shky,11,11,4,s,y,0.0,1.0,0.09090909090909091,0.8114754098360655,herbal,0.36363636363636365,False,0.36363636363636365,19,"n_paragraphs(npmi=+0.29, n=4) | n_decorative_motifs(npmi=+0.29, n=4) | n_stars(npmi=+0.24, n=4)",[body] recipes/biological | has_moon_face+has_central_object
chkal,11,9,5,c,l,0.0,0.9090909090909091,0.0,0.8181818181818182,recipes,0.6363636363636364,False,0.6363636363636364,22,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)",[body] recipes/biological | has_central_star+has_T_O_diagram
qokeeol,11,9,7,q,l,0.0,0.9090909090909091,0.45454545454545453,0.4365079365079365,pharmaceutical,0.45454545454545453,False,0.45454545454545453,3,"n_rows(npmi=+0.72, n=5) | n_plant_fragments(npmi=+0.54, n=5) | n_containers(npmi=+0.51, n=4)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
olshey,11,8,6,o,y,0.0,1.0,0.09090909090909091,0.901639344262295,biological,0.6363636363636364,False,0.6363636363636364,24,"n_nymphs(npmi=+0.60, n=6) | has_water(npmi=+0.59, n=6) | n_pools(npmi=+0.56, n=5)",[body] biological/recipes | n_nymphs+has_water
qoeedy,11,8,6,q,y,0.0,0.9090909090909091,0.0,1.0,recipes,0.7272727272727273,False,0.7272727272727273,21,"n_paragraphs(npmi=+0.45, n=5) | n_decorative_motifs(npmi=+0.44, n=5) | n_stars(npmi=+0.40, n=5)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
@221;kain,11,9,9,@,n,0.0,1.0,0.0,1.0,recipes,0.7272727272727273,False,0.7272727272727273,22,"n_paragraphs(npmi=+0.49, n=6) | n_decorative_motifs(npmi=+0.48, n=6) | n_stars(npmi=+0.44, n=6)",[body] recipes/biological | has_central_star+has_T_O_diagram
ok,11,11,2,o,k,0.0,1.0,0.36363636363636365,0.616,herbal,0.45454545454545453,False,0.45454545454545453,26,"n_paragraphs(npmi=+0.21, n=3) | n_decorative_motifs(npmi=+0.20, n=3) | n_stars(npmi=+0.16, n=3)",[body] recipes/herbal | has_central_star+has_moon_face
lshe@152;y,11,10,10,l,y,0.0,0.9090909090909091,0.0,1.0,biological,0.7272727272727273,False,0.7272727272727273,16,"n_pools(npmi=+0.64, n=7) | n_nymphs(npmi=+0.61, n=7) | has_water(npmi=+0.60, n=7)",[body] biological/recipes | has_T_O_diagram+spiral_turns
lkee@152;y,11,8,10,l,y,0.0,1.0,0.0,1.0,recipes,0.7272727272727273,False,0.7272727272727273,16,"n_paragraphs(npmi=+0.45, n=5) | n_decorative_motifs(npmi=+0.44, n=5) | n_stars(npmi=+0.40, n=5)",[body] biological/recipes | has_T_O_diagram+spiral_turns
ctho,10,10,4,c,o,0.0,1.0,1.0,0.0,herbal,0.9,False,0.9,4,"n_rows(npmi=+0.19, n=1) | n_distinct_objects(npmi=+0.05, n=10) | n_containers(npmi=+0.10, n=1)",[body] herbal | has_moon_face+has_star_motif
checkhey,10,9,8,c,y,0.0,1.0,0.3,0.6796116504854368,recipes,0.5,False,0.5,22,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)",[body] recipes/biological | has_central_star+has_T_O_diagram
chan,10,9,4,c,n,0.0,1.0,0.8,0.18518518518518517,herbal,0.8,False,0.8,4,"n_flowers_visible(npmi=+0.54, n=2) | n_leaves_visible(npmi=+0.49, n=2) | n_visual_text_columns(npmi=+0.45, n=2)",[body] herbal | has_moon_face+has_star_motif
cheo@152;y,10,10,10,c,y,0.0,0.7,0.1,0.6930693069306931,herbal,0.4,False,0.4,26,"has_central_star(npmi=+0.58, n=1) | n_concentric_rings(npmi=+0.25, n=3) | n_human_figures(npmi=+0.28, n=2)",[body] recipes/herbal | has_central_star+has_moon_face
octhy,10,10,5,o,y,0.1,0.8,0.2,0.6862745098039216,recipes,0.4,False,0.4,19,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_stars(npmi=+0.27, n=4)",[body] recipes/biological | has_moon_face+has_central_object
ychol,10,10,5,y,l,0.0,1.0,0.9,0.09174311926605504,herbal,0.8,False,0.8,4,"n_rows(npmi=+0.19, n=1) | n_containers(npmi=+0.10, n=1) | has_container(npmi=+0.08, n=1)",[body] herbal | has_moon_face+has_star_motif
lar,10,10,3,l,r,0.0,1.0,0.2,0.7843137254901962,recipes,0.4,False,0.4,22,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_stars(npmi=+0.27, n=4)",[body] recipes/biological | has_central_star+has_T_O_diagram
pchor,10,10,5,p,r,0.0,1.0,0.5,0.47619047619047616,herbal,0.5,False,0.5,28,"n_paragraphs(npmi=+0.23, n=3) | n_decorative_motifs(npmi=+0.22, n=3) | n_stars(npmi=+0.18, n=3)",[body] herbal/recipes | has_moon_face+n_petals
choiin,10,10,6,c,n,0.0,1.0,1.0,0.0,herbal,1.0,False,1.0,4,"n_distinct_objects(npmi=+0.05, n=10)",[body] herbal | has_moon_face+has_star_motif
qot,10,10,3,q,t,0.0,0.8,0.6,0.37735849056603776,herbal,0.6,False,0.6,4,"n_paragraphs(npmi=+0.23, n=3) | n_decorative_motifs(npmi=+0.22, n=3) | n_stars(npmi=+0.18, n=3)",[body] herbal | has_moon_face+has_star_motif
opar,10,10,4,o,r,0.0,0.8,0.2,0.5882352941176471,herbal,0.2,False,0.2,21,"n_rays_or_petals(npmi=+0.32, n=1) | n_concentric_rings(npmi=+0.14, n=2) | n_rows(npmi=+0.19, n=1)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
shckhey,10,9,7,s,y,0.0,1.0,0.1,0.8910891089108911,biological,0.5,False,0.5,22,"n_nymphs(npmi=+0.50, n=5) | has_water(npmi=+0.48, n=5) | n_pipes(npmi=+0.47, n=4)",[body] recipes/biological | has_central_star+has_T_O_diagram
okshy,10,10,5,o,y,0.1,0.9,0.6,0.37735849056603776,herbal,0.7,False,0.7,2,"n_pipes(npmi=+0.08, n=1) | n_distinct_objects(npmi=+0.01, n=9) | n_nymphs(npmi=+0.03, n=1)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
qopchey,10,10,7,q,y,0.0,0.9,0.2,0.6862745098039216,recipes,0.5,False,0.5,19,"n_paragraphs(npmi=+0.40, n=5) | n_decorative_motifs(npmi=+0.39, n=5) | n_stars(npmi=+0.34, n=5)",[body] recipes/biological | has_moon_face+has_central_object
ctheol,10,9,6,c,l,0.0,1.0,1.0,0.0,pharmaceutical,0.7,False,0.7,18,"n_containers(npmi=+0.68, n=6) | has_container(npmi=+0.64, n=6) | n_plant_fragments(npmi=+0.62, n=6)",[body] pharmaceutical/herbal | n_petals+has_moon_face
t,10,5,1,t,t,0.0,0.3,0.2,0.29411764705882354,cosmological,0.5,False,0.5,6,"has_marginal_annotation(npmi=+0.50, n=1) | n_pipes(npmi=+0.20, n=1) | n_pools(npmi=+0.18, n=1)",[body] cosmological/herbal | has_marginal_annotation+fragments_are_whole_plants
chcphy,10,10,6,c,y,0.0,1.0,0.4,0.5769230769230769,recipes,0.5,False,0.5,29,"n_paragraphs(npmi=+0.40, n=5) | n_decorative_motifs(npmi=+0.39, n=5) | n_stars(npmi=+0.34, n=5)",[body] herbal/recipes | has_central_object+has_T_O_diagram
otoldy,10,10,6,o,y,0.4,0.6,0.7,0.28037383177570097,herbal,0.5,False,0.5,2,"n_rows(npmi=+0.49, n=3) | n_containers(npmi=+0.38, n=3) | has_container(npmi=+0.35, n=3)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
ykain,10,7,5,y,n,0.0,1.0,0.1,0.8910891089108911,herbal,0.5,False,0.5,26,"n_pipes(npmi=+0.31, n=2) | n_nymphs(npmi=+0.26, n=2) | has_water(npmi=+0.25, n=2)",[body] recipes/herbal | has_central_star+has_moon_face
lr,10,9,2,l,r,0.0,1.0,0.0,1.0,recipes,0.5,False,0.5,1,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_pipes(npmi=+0.37, n=3)",[body] recipes/biological | has_central_star+n_paragraphs
ykeody,10,9,6,y,y,0.1,0.6,0.3,0.0970873786407767,astronomical,0.2,False,0.2,28,"n_labels(npmi=+0.40, n=7) | n_rays_or_petals(npmi=+0.54, n=2) | has_radial_symmetry(npmi=+0.34, n=4)",[body] herbal/recipes | has_moon_face+n_petals
daldy,10,9,5,d,y,0.2,0.7,0.4,0.3846153846153846,biological,0.3,False,0.3,3,"n_petals(npmi=+0.59, n=1) | n_pipes(npmi=+0.26, n=2) | n_stars(npmi=+0.21, n=3)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
qokl,10,7,4,q,l,0.0,1.0,0.0,1.0,recipes,0.7,False,0.7,22,"n_paragraphs(npmi=+0.49, n=5) | n_decorative_motifs(npmi=+0.48, n=5) | n_stars(npmi=+0.43, n=5)",[body] recipes/biological | has_central_star+has_T_O_diagram
oees,10,9,4,o,s,0.1,0.7,0.4,0.3846153846153846,herbal,0.4,False,0.4,29,"n_concentric_rings(npmi=+0.27, n=3) | has_radial_symmetry(npmi=+0.25, n=3) | has_circular_structure(npmi=+0.23, n=3)",[body] herbal/recipes | has_central_object+has_T_O_diagram
cheockhy,10,9,8,c,y,0.0,0.8,0.3,0.48543689320388345,pharmaceutical,0.3,False,0.3,26,"n_labels(npmi=+0.28, n=5) | has_T_O_diagram(npmi=+0.59, n=1) | fragments_are_whole_plants(npmi=+0.47, n=1)",[body] recipes/herbal | has_central_star+has_moon_face
ytchedy,10,8,7,y,y,0.0,0.9,0.0,1.0,recipes,0.5,False,0.5,10,"n_paragraphs(npmi=+0.37, n=4) | n_decorative_motifs(npmi=+0.36, n=4) | n_stars(npmi=+0.32, n=4)",[body] herbal/recipes | has_central_object+spiral_turns
teedy,10,10,5,t,y,0.0,0.9,0.0,1.0,recipes,0.4,False,0.4,16,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_pipes(npmi=+0.35, n=3)",[body] biological/recipes | has_T_O_diagram+spiral_turns
otch@152;y,10,9,10,o,y,0.0,1.0,0.0,1.0,herbal,0.4,False,0.4,21,"n_paragraphs(npmi=+0.26, n=3) | n_decorative_motifs(npmi=+0.25, n=3) | has_marginal_annotation(npmi=+0.39, n=1)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
olcheey,10,8,7,o,y,0.0,1.0,0.3,0.6796116504854368,herbal,0.4,False,0.4,28,"n_paragraphs(npmi=+0.28, n=3) | n_decorative_motifs(npmi=+0.27, n=3) | n_stars(npmi=+0.23, n=3)",[body] herbal/recipes | has_moon_face+n_petals
oram,10,10,4,o,m,0.1,0.8,0.1,0.7920792079207921,recipes,0.4,False,0.4,21,"n_stars(npmi=+0.34, n=5) | n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
@221;iin,10,9,8,@,n,0.0,0.9,0.1,0.8910891089108911,recipes,0.3,False,0.3,3,"has_marginal_annotation(npmi=+0.39, n=1) | n_pipes(npmi=+0.26, n=2) | n_pools(npmi=+0.23, n=2)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
keeey,10,9,5,k,y,0.0,1.0,0.3,0.6796116504854368,recipes,0.5,False,0.5,29,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)",[body] herbal/recipes | has_central_object+has_T_O_diagram
ycheo,10,9,5,y,o,0.0,1.0,0.2,0.6862745098039216,recipes,0.6,False,0.6,26,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)",[body] recipes/herbal | has_central_star+has_moon_face
okeo@152;y,10,10,10,o,y,0.1,0.7,0.3,0.3883495145631068,pharmaceutical,0.3,False,0.3,26,"n_labels(npmi=+0.31, n=6) | n_human_figures(npmi=+0.40, n=3) | n_containers(npmi=+0.38, n=3)",[body] recipes/herbal | has_central_star+has_moon_face
m,10,6,1,m,m,0.0,0.5,0.0,0.5,cosmological,0.5,False,0.5,6,"n_concentric_rings(npmi=+0.09, n=1) | n_paragraphs(npmi=+0.08, n=1) | n_decorative_motifs(npmi=+0.07, n=1)",[body] cosmological/herbal | has_marginal_annotation+fragments_are_whole_plants
qok@221;r,10,8,9,q,r,0.0,1.0,0.0,1.0,biological,0.3,False,0.3,16,"n_paragraphs(npmi=+0.28, n=3) | n_decorative_motifs(npmi=+0.27, n=3) | n_stars(npmi=+0.23, n=3)",[body] biological/recipes | has_T_O_diagram+spiral_turns
oteeo,10,9,5,o,o,0.0,0.7,0.0,0.7,recipes,0.7,False,0.7,21,"n_paragraphs(npmi=+0.49, n=6) | n_decorative_motifs(npmi=+0.48, n=6) | n_stars(npmi=+0.44, n=6)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
oiiin,10,10,5,o,n,0.0,0.9,0.2,0.6862745098039216,biological,0.3,False,0.3,26,"n_pipes(npmi=+0.35, n=3) | n_pools(npmi=+0.32, n=3) | has_human_figure(npmi=+0.27, n=4)",[body] recipes/herbal | has_central_star+has_moon_face
okear,10,10,5,o,r,0.0,0.7,0.2,0.4901960784313726,recipes,0.4,False,0.4,26,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_labels(npmi=+0.25, n=5)",[body] recipes/herbal | has_central_star+has_moon_face
qolchey,10,7,7,q,y,0.0,0.8,0.0,1.0,biological,0.6,False,0.6,24,"n_nymphs(npmi=+0.56, n=5) | has_water(npmi=+0.55, n=5) | n_pipes(npmi=+0.53, n=4)",[body] biological/recipes | n_nymphs+has_water
qokeo,10,9,5,q,o,0.0,1.0,0.4,0.5769230769230769,recipes,0.5,False,0.5,0,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_plant_fragments(npmi=+0.36, n=3)",[body] recipes/pharmaceutical | has_moon_face+n_paragraphs
sheeky,10,10,6,s,y,0.0,1.0,0.0,1.0,biological,0.4,False,0.4,1,"n_pools(npmi=+0.41, n=4) | n_nymphs(npmi=+0.39, n=4) | has_water(npmi=+0.37, n=4)",[body] recipes/biological | has_central_star+n_paragraphs
oteeody,10,8,7,o,y,0.0,0.5,0.2,0.29411764705882354,astronomical,0.2,False,0.2,29,"n_labels(npmi=+0.37, n=6) | n_concentric_rings(npmi=+0.39, n=4) | has_radial_symmetry(npmi=+0.36, n=4)",[body] herbal/recipes | has_central_object+has_T_O_diagram
x,10,2,1,x,x,0.0,0.0,0.0,0.3,cosmological,0.7,False,0.7,6,"has_marginal_annotation(npmi=+0.67, n=1) | n_concentric_rings(npmi=+0.29, n=1) | has_radial_symmetry(npmi=+0.27, n=1)",[body] cosmological/herbal | has_marginal_annotation+fragments_are_whole_plants
ched@222;,10,10,9,c,;,0.0,0.9,0.0,1.0,recipes,0.5,False,0.5,22,"n_paragraphs(npmi=+0.40, n=5) | n_decorative_motifs(npmi=+0.39, n=5) | n_stars(npmi=+0.34, n=5)",[body] recipes/biological | has_central_star+has_T_O_diagram
chekaiin,9,7,8,c,n,0.0,0.7777777777777778,0.2222222222222222,0.5421686746987953,herbal,0.5555555555555556,False,0.5555555555555556,29,"n_rows(npmi=+0.26, n=1) | n_human_figures(npmi=+0.18, n=1) | n_containers(npmi=+0.17, n=1)",[body] herbal/recipes | has_central_object+has_T_O_diagram
oteor,9,8,5,o,r,0.0,0.7777777777777778,0.3333333333333333,0.5357142857142857,recipes,0.5555555555555556,False,0.5555555555555556,3,"n_decorative_motifs(npmi=+0.44, n=5) | n_paragraphs(npmi=+0.37, n=4) | n_stars(npmi=+0.32, n=4)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
kody,9,9,4,k,y,0.0,0.8888888888888888,0.4444444444444444,0.4235294117647059,herbal,0.4444444444444444,False,0.4444444444444444,2,"has_marginal_annotation(npmi=+0.39, n=1) | n_flowers_visible(npmi=+0.34, n=1) | branching_depth(npmi=+0.34, n=1)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
chkar,9,9,5,c,r,0.0,1.0,0.2222222222222222,0.7590361445783134,recipes,0.5555555555555556,False,0.5555555555555556,28,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)",[body] herbal/recipes | has_moon_face+n_petals
qodar,9,8,5,q,r,0.0,1.0,0.6666666666666666,0.3103448275862069,herbal,0.7777777777777778,False,0.7777777777777778,2,"has_star_motif(npmi=+0.49, n=1) | n_flowers_visible(npmi=+0.36, n=1) | branching_depth(npmi=+0.36, n=1)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
cheodaiin,9,9,9,c,n,0.0,1.0,0.4444444444444444,0.4235294117647059,herbal,0.4444444444444444,False,0.4444444444444444,29,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)",[body] herbal/recipes | has_central_object+has_T_O_diagram
sheod,9,9,5,s,d,0.0,1.0,0.3333333333333333,0.6428571428571428,recipes,0.4444444444444444,False,0.4444444444444444,28,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)",[body] herbal/recipes | has_moon_face+n_petals
cheeey,9,7,6,c,y,0.0,0.8888888888888888,0.2222222222222222,0.6506024096385543,recipes,0.6666666666666666,False,0.6666666666666666,8,"n_paragraphs(npmi=+0.41, n=4) | n_decorative_motifs(npmi=+0.40, n=4) | n_stars(npmi=+0.35, n=4)",[body] herbal/recipes | spiral_turns+has_spiral
chokain,9,9,7,c,n,0.0,0.8888888888888888,0.2222222222222222,0.6506024096385543,recipes,0.5555555555555556,False,0.5555555555555556,28,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)",[body] herbal/recipes | has_moon_face+n_petals
qotcho,9,9,6,q,o,0.0,0.8888888888888888,0.7777777777777778,0.20454545454545453,herbal,0.7777777777777778,False,0.7777777777777778,13,"n_flowers_visible(npmi=+0.34, n=1) | n_leaves_visible(npmi=+0.30, n=1) | n_visual_text_columns(npmi=+0.26, n=1)",[body] herbal | has_moon_face+n_petals
okeal,9,8,5,o,l,0.0,1.0,0.5555555555555556,0.4186046511627907,recipes,0.6666666666666666,False,0.6666666666666666,22,"n_paragraphs(npmi=+0.45, n=5) | n_decorative_motifs(npmi=+0.44, n=5) | n_stars(npmi=+0.40, n=5)",[body] recipes/biological | has_central_star+has_T_O_diagram
eees,9,9,4,e,s,0.0,1.0,0.2222222222222222,0.7590361445783134,recipes,0.4444444444444444,False,0.4444444444444444,21,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
keor,9,9,4,k,r,0.0,0.8888888888888888,0.7777777777777778,0.10227272727272727,herbal,0.5555555555555556,False,0.5555555555555556,29,"n_plant_fragments(npmi=+0.24, n=2) | n_labels(npmi=+0.12, n=3) | n_rows(npmi=+0.21, n=1)",[body] herbal/recipes | has_central_object+has_T_O_diagram
yte@152;y,9,8,9,y,y,0.0,1.0,0.0,1.0,herbal,0.6666666666666666,False,0.6666666666666666,10,"n_pipes(npmi=+0.28, n=2) | n_pools(npmi=+0.25, n=2) | n_nymphs(npmi=+0.23, n=2)",[body] herbal/recipes | has_central_object+spiral_turns
ytchey,9,9,6,y,y,0.0,0.8888888888888888,0.4444444444444444,0.4235294117647059,herbal,0.5555555555555556,False,0.5555555555555556,2,"n_rays_or_petals(npmi=+0.34, n=1) | n_concentric_rings(npmi=+0.17, n=2) | has_radial_symmetry(npmi=+0.14, n=2)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
d@221;l,9,7,7,d,l,0.0,0.7777777777777778,0.2222222222222222,0.7590361445783134,biological,0.7777777777777778,False,0.7777777777777778,16,"n_pools(npmi=+0.59, n=5) | n_nymphs(npmi=+0.56, n=5) | has_water(npmi=+0.55, n=5)",[body] biological/recipes | has_T_O_diagram+spiral_turns
d@221;r,9,9,7,d,r,0.0,1.0,0.3333333333333333,0.6428571428571428,biological,0.4444444444444444,False,0.4444444444444444,16,"n_nymphs(npmi=+0.41, n=4) | has_water(npmi=+0.40, n=4) | n_pools(npmi=+0.34, n=3)",[body] biological/recipes | has_T_O_diagram+spiral_turns
cheeol,9,9,6,c,l,0.0,1.0,0.5555555555555556,0.4186046511627907,herbal,0.4444444444444444,False,0.4444444444444444,28,"has_star_motif(npmi=+0.47, n=1) | n_containers(npmi=+0.29, n=2) | has_container(npmi=+0.26, n=2)",[body] herbal/recipes | has_moon_face+n_petals
otody,9,9,5,o,y,0.0,0.7777777777777778,0.2222222222222222,0.6506024096385543,herbal,0.5555555555555556,False,0.5555555555555556,21,"n_rays_or_petals(npmi=+0.34, n=1) | n_concentric_rings(npmi=+0.17, n=2) | n_paragraphs(npmi=+0.15, n=2)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
opal,9,8,4,o,l,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.6585365853658537,recipes,0.5555555555555556,False,0.5555555555555556,26,"n_paragraphs(npmi=+0.37, n=4) | n_decorative_motifs(npmi=+0.36, n=4) | n_stars(npmi=+0.32, n=4)",[body] recipes/herbal | has_central_star+has_moon_face
choy,9,9,4,c,y,0.0,1.0,0.8888888888888888,0.10112359550561797,herbal,0.7777777777777778,False,0.7777777777777778,13,"has_star_motif(npmi=+0.47, n=1) | fragments_are_whole_plants(npmi=+0.47, n=1) | n_containers(npmi=+0.29, n=2)",[body] herbal | has_moon_face+n_petals
qoar,9,9,4,q,r,0.0,1.0,0.5555555555555556,0.4186046511627907,recipes,0.4444444444444444,False,0.4444444444444444,26,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)",[body] recipes/herbal | has_central_star+has_moon_face
ckheey,9,9,6,c,y,0.0,1.0,0.7777777777777778,0.20454545454545453,herbal,0.4444444444444444,False,0.4444444444444444,8,"n_plant_fragments(npmi=+0.36, n=3) | has_star_motif(npmi=+0.47, n=1) | n_containers(npmi=+0.29, n=2)",[body] herbal/recipes | spiral_turns+has_spiral
qokeed@222;,9,9,11,q,;,0.0,0.8888888888888888,0.0,1.0,biological,0.5555555555555556,False,0.5555555555555556,16,"n_nymphs(npmi=+0.50, n=5) | has_water(npmi=+0.48, n=5) | n_pipes(npmi=+0.47, n=4)",[body] biological/recipes | has_T_O_diagram+spiral_turns
shek,9,7,4,s,k,0.0,1.0,0.0,1.0,recipes,0.4444444444444444,False,0.4444444444444444,19,"n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3) | n_stars(npmi=+0.26, n=3)",[body] recipes/biological | has_moon_face+has_central_object
qokeo@152;y,9,9,11,q,y,0.0,0.8888888888888888,0.4444444444444444,0.4235294117647059,herbal,0.4444444444444444,False,0.4444444444444444,3,"n_plant_fragments(npmi=+0.36, n=3) | n_rays(npmi=+0.47, n=1) | n_labels(npmi=+0.20, n=4)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
olkeeey,9,9,7,o,y,0.0,0.8888888888888888,0.0,1.0,recipes,0.4444444444444444,False,0.4444444444444444,22,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_pipes(npmi=+0.37, n=3)",[body] recipes/biological | has_central_star+has_T_O_diagram
dsheol,9,9,6,d,l,0.0,1.0,0.2222222222222222,0.7590361445783134,recipes,0.3333333333333333,False,0.3333333333333333,19,"n_rows(npmi=+0.39, n=2) | n_paragraphs(npmi=+0.26, n=3) | n_decorative_motifs(npmi=+0.25, n=3)",[body] recipes/biological | has_moon_face+has_central_object
otoly,9,9,5,o,y,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.4337349397590362,biological,0.2222222222222222,False,0.2222222222222222,26,"has_sun_face(npmi=+0.47, n=1) | has_star_motif(npmi=+0.47, n=1) | has_radial_symmetry(npmi=+0.25, n=3)",[body] recipes/herbal | has_central_star+has_moon_face
arody,9,9,5,a,y,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.7590361445783134,recipes,0.5555555555555556,False,0.5555555555555556,26,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)",[body] recipes/herbal | has_central_star+has_moon_face
pche@152;y,9,9,10,p,y,0.0,0.8888888888888888,0.0,1.0,biological,0.3333333333333333,False,0.3333333333333333,19,"n_pools(npmi=+0.34, n=3) | n_nymphs(npmi=+0.32, n=3) | has_water(npmi=+0.31, n=3)",[body] recipes/biological | has_moon_face+has_central_object
oteeol,9,8,6,o,l,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.4337349397590362,recipes,0.4444444444444444,False,0.4444444444444444,29,"n_paragraphs(npmi=+0.37, n=4) | n_decorative_motifs(npmi=+0.36, n=4) | n_stars(npmi=+0.32, n=4)",[body] herbal/recipes | has_central_object+has_T_O_diagram
ychedy,9,8,6,y,y,0.0,1.0,0.0,1.0,biological,0.3333333333333333,False,0.3333333333333333,16,"n_pools(npmi=+0.37, n=3) | n_nymphs(npmi=+0.35, n=3) | has_water(npmi=+0.33, n=3)",[body] biological/recipes | has_T_O_diagram+spiral_turns
qodain,9,5,6,q,n,0.0,1.0,0.1111111111111111,0.8780487804878049,recipes,0.7777777777777778,False,0.7777777777777778,3,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
oteo@152;y,9,7,10,o,y,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,zodiac,0.5555555555555556,False,0.5555555555555556,26,"n_concentric_rings(npmi=+0.43, n=4) | n_human_figures(npmi=+0.48, n=3) | has_radial_symmetry(npmi=+0.40, n=4)",[body] recipes/herbal | has_central_star+has_moon_face
alam,9,7,4,a,m,0.1111111111111111,0.8888888888888888,0.4444444444444444,0.4235294117647059,recipes,0.8888888888888888,False,0.8888888888888888,26,"n_paragraphs(npmi=+0.56, n=6) | n_decorative_motifs(npmi=+0.55, n=6) | n_stars(npmi=+0.50, n=6)",[body] recipes/herbal | has_central_star+has_moon_face
